2022-08-25 09:16:32.897 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.logdemo.LogDemoApplicationTests], using SpringBootContextLoader
2022-08-25 09:16:32.910 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.logdemo.LogDemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-08-25 09:16:32.911 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.logdemo.LogDemoApplicationTests]: LogDemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-08-25 09:16:33.030 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.logdemo.LogDemoApplication for test class com.example.logdemo.LogDemoApplicationTests
2022-08-25 09:16:33.137 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-08-25 09:16:33.150 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@274872f8, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@76ba13c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@eb6449b, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7c351808, org.springframework.test.context.support.DirtiesContextTestExecutionListener@180e6ac4, org.springframework.test.context.event.EventPublishingTestExecutionListener@42b64ab8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7e985ce9, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2a39fe6a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@410ae9a3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@319988b0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@d5ae57e]
2022-08-25 09:16:33.520 [main] INFO  com.example.logdemo.LogDemoApplicationTests - Starting LogDemoApplicationTests on fengtx45968 with PID 9268 (started by fengtx45968 in C:\Users\fengtx45968\IdeaProjects\log-demo)
2022-08-25 09:16:33.521 [main] INFO  com.example.logdemo.LogDemoApplicationTests - No active profile set, falling back to default profiles: default
2022-08-25 09:16:34.527 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-08-25 09:16:34.753 [main] INFO  com.example.logdemo.LogDemoApplicationTests - Started LogDemoApplicationTests in 1.561 seconds (JVM running for 3.125)
2022-08-25 09:16:44.281 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2022-08-25 09:17:14.969 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.logdemo.LogDemoApplicationTests], using SpringBootContextLoader
2022-08-25 09:17:14.976 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.logdemo.LogDemoApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-08-25 09:17:14.977 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.logdemo.LogDemoApplicationTests]: LogDemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-08-25 09:17:15.085 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.logdemo.LogDemoApplication for test class com.example.logdemo.LogDemoApplicationTests
2022-08-25 09:17:15.178 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
